dataset,object_id,object_category,part_id,part_category
real,20211123T175833-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,door
real,20211123T175833-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,3,door
real,20211123T175833-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,4,door
real,20211123T180740-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,door
real,20211123T180740-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,door
real,20211123T181242-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,TrashCan,1,lid
real,20211123T183957-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,Refrigerator,1,door
real,20211123T183957-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,Refrigerator,2,door
real,20211123T184413-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,Microwave,1,door
real,20211124T112656-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,door
real,20211124T112656-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,door
real,20211124T113255-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,door
real,20211124T113255-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,door
real,20211124T113913-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,drawer
real,20211124T113913-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,drawer
real,20211124T113913-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,3,drawer
real,20211124T114633-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,drawer
real,20211124T114633-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,drawer
real,20211124T114633-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,3,drawer
real,20211124T114633-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,4,drawer
real,20211124T115515-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,Refrigerator,1,door
real,20211124T115515-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,Refrigerator,2,door
real,20211124T115515-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,Refrigerator,3,drawer
real,20211124T120317-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,drawer
real,20211124T120317-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,drawer
real,20211124T120602-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,drawer
real,20211124T120602-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,drawer
real,20211124T120602-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,3,drawer
real,20211124T121355-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,drawer
real,20211124T121355-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,drawer
real,20211124T121355-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,3,drawer
real,20211124T121355-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,4,drawer
real,20211124T121355-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,5,drawer
real,20211124T121355-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,6,drawer
real,20211124T121355-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,7,door
real,20211124T121355-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,8,door
real,20211124T121355-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,9,door
real,20211124T121355-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,10,door
real,20211124T121908-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,Refrigerator,1,door
real,20211124T121908-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,Refrigerator,2,door
real,20211124T121908-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,Refrigerator,3,drawer
real,20211124T122118-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,drawer
real,20211124T122118-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,drawer
real,20211124T122118-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,3,drawer
real,20211124T122831-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,drawer
real,20211124T122831-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,drawer
real,20211124T123057-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,drawer
real,20211124T123057-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,drawer
real,20211124T123343-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,Refrigerator,1,door
real,20211124T123343-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,Refrigerator,2,door
real,20211124T123639-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,Oven,1,door
real,20211124T123854-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,Microwave,1,door
real,20211124T124035-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,door
real,20211124T124035-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,door
real,20211124T124432-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,drawer
real,20211124T124432-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,drawer
real,20211124T124432-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,3,drawer
real,20211124T124432-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,4,drawer
real,20211124T124432-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,5,drawer
real,20211124T124525-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,door
real,20211124T124525-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,door
real,20211124T124525-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,3,door
real,20211124T124525-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,4,door
real,20211124T124525-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,5,door
real,20211124T124525-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,6,door
real,20211124T125042-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,door
real,20211124T125042-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,door
real,20211124T125042-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,3,door
real,20211124T125042-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,4,door
real,20211124T125409-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,door
real,20211124T125409-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,door
real,20211124T125649-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,drawer
real,20211124T125649-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,drawer
real,20211124T125649-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,3,drawer
real,20211124T125649-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,4,drawer
real,20211124T125649-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,5,drawer
real,20211124T125649-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,6,drawer
real,20211124T130104-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,drawer
real,20211124T130246-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,drawer
real,20211124T130246-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,drawer
real,20211124T130246-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,3,drawer
real,20211124T130246-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,4,drawer
real,20211124T130816-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,Refrigerator,1,door
real,20211124T130816-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,Refrigerator,2,door
real,20211124T130816-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,Refrigerator,3,drawer
real,20211124T131203-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,door
real,20211124T131203-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,door
real,20211124T131203-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,3,drawer
real,20211124T132553-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,WashingMachine,1,door
real,20211124T132745-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,WashingMachine,1,door
real,20211124T132921-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,door
real,20211124T133200-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,door
real,20211124T133200-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,door
real,20211124T133200-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,3,drawer
real,20211124T133514-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,door
real,20211124T133514-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,door
real,20211124T133514-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,3,door
real,20211124T133514-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,4,door
real,20211124T134208-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,door
real,20211124T134208-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,door
real,20211124T134513-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,door
real,20211124T134513-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,door
real,20211124T134513-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,3,drawer
real,20211124T134513-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,4,drawer
real,20211124T134513-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,5,drawer
real,20211124T135108-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,Table,1,drawer
real,20211124T135108-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,Table,2,drawer
real,20211124T135108-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,Table,3,drawer
real,20211124T135503-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,Refrigerator,1,door
real,20211124T135503-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,Refrigerator,2,door
real,20211124T135503-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,Refrigerator,3,drawer
real,20211124T140118-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,drawer
real,20211124T140118-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,drawer
real,20211124T140118-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,3,drawer
real,20211124T140958-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,drawer
real,20211124T140958-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,drawer
real,20211124T140958-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,3,drawer
real,20211124T141518-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,drawer
real,20211124T141518-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,3,drawer
real,20211124T141919-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,drawer
real,20211124T141919-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,drawer
real,20211124T142312-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,drawer
real,20211124T142312-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,drawer
real,20211124T142312-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,3,drawer
real,20211124T151137-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,drawer
real,20211124T151137-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,door
real,20211124T151137-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,3,door
real,20211124T151623-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,door
real,20211124T151623-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,door
real,20211124T151923-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,drawer
real,20211124T151923-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,drawer
real,20211124T152304-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,drawer
real,20211124T152304-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,drawer
real,20211124T152640-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,door
real,20211124T152640-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,door
real,20211124T152640-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,3,drawer
real,20211124T153300-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,drawer
real,20211124T153300-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,drawer
real,20211124T153300-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,3,door
real,20211124T153300-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,4,door
real,20211124T153300-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,5,door
real,20211124T153744-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,door
real,20211124T153744-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,door
real,20211124T153744-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,3,door
real,20211124T153943-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,door
real,20211124T153943-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,door
real,20211124T153943-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,3,drawer
real,20211124T154311-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,door
real,20211124T154311-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,door
real,20211124T154516-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,door
real,20211124T154516-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,drawer
real,20211124T154516-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,3,drawer
real,20211124T154903-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,door
real,20211124T154903-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,door
real,20211124T154903-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,3,door
real,20211124T155248-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,door
real,20211124T155419-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,door
real,20211124T155758-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,drawer
real,20211124T155758-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,drawer
real,20211124T155758-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,3,drawer
real,20211124T155758-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,4,drawer
real,20211124T155758-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,5,drawer
real,20211124T155758-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,6,drawer
real,20211124T155758-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,7,drawer
real,20211124T155758-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,8,drawer
real,20211124T155758-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,9,door
real,20211124T155758-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,10,door
real,20211124T155758-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,11,door
real,20211124T155758-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,12,door
real,20211124T160217-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,drawer
real,20211124T160217-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,drawer
real,20211124T160217-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,3,drawer
real,20211124T160217-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,4,drawer
real,20211124T160217-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,5,door
real,20211124T160217-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,6,door
real,20211124T160651-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,drawer
real,20211124T160651-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,drawer
real,20211124T160651-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,3,drawer
real,20211124T160651-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,4,drawer
real,20211124T160651-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,5,drawer
real,20211124T160651-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,6,drawer
real,20211124T160651-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,7,drawer
real,20211124T160651-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,8,drawer
real,20211124T160651-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,9,door
real,20211124T160651-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,10,door
real,20211124T160651-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,11,door
real,20211124T160651-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,12,door
real,20211124T161350-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,Table,1,drawer
real,20211124T161350-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,Table,2,drawer
real,20211124T161626-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,door
real,20211124T161626-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,door
real,20211124T161915-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,drawer
real,20211124T161915-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,drawer
real,20211124T161915-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,3,door
real,20211124T161915-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,4,door
real,20211124T162451-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,door
real,20211124T162451-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,door
real,20211124T162451-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,4,drawer
real,20211124T162451-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,5,drawer
real,20211124T162853-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,door
real,20211124T162853-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,door
real,20211124T162853-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,3,drawer
real,20211124T162853-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,4,drawer
real,20211124T162853-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,5,drawer
real,20211124T163316-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,door
real,20211124T163316-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,door
real,20211124T180302-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,drawer
real,20211124T180302-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,drawer
real,20211124T180734-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,door
real,20211124T180734-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,door
real,20211124T181201-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,door
real,20211124T181201-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,door
real,20211124T181201-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,3,drawer
real,20211124T181201-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,4,drawer
real,20211124T181201-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,5,drawer
real,20211124T181604-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,door
real,20211124T181604-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,door
real,20211124T182035-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,door
real,20211124T182035-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,door
real,20211124T182403-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,door
real,20211124T182403-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,door
real,20211124T182642-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,door
real,20211124T182642-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,door
real,20211124T182938-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,door
real,20211124T182938-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,drawer
real,20211124T182938-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,3,drawer
real,20211124T182938-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,4,door
real,20211124T183333-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,1,drawer
real,20211124T183333-0800_CDD0B466-AC78-4423-9D7F-56650BF4D62B,StorageFurniture,2,drawer
